Arduino_Timestamp,Temperature_C,Humidity_Percent,Humidifier_State,Lights_State,Pi_Receive_Time
2026-02-02 17:33:26,34.6,39.7,OFF,ON,2026-02-02 17:33:25
2026-02-02 17:33:31,34.6,39.7,OFF,ON,2026-02-02 17:33:30
2026-02-02 17:33:36,34.6,39.7,OFF,ON,2026-02-02 17:33:35
2026-02-02 17:33:41,34.6,39.7,OFF,ON,2026-02-02 17:33:40
2026-02-02 17:33:46,34.5,39.6,ON,OFF,2026-02-02 17:33:45
2026-02-02 17:33:51,34.6,39.6,ON,OFF,2026-02-02 17:33:50
2026-02-02 17:33:56,34.6,39.6,ON,OFF,2026-02-02 17:33:55
2026-02-02 17:34:01,34.5,39.5,ON,OFF,2026-02-02 17:34:00
2026-02-02 17:34:06,34.6,39.4,ON,OFF,2026-02-02 17:34:06
2026-02-02 17:34:11,34.6,39.4,ON,OFF,2026-02-02 17:34:11
2026-02-02 17:34:16,34.5,39.5,ON,OFF,2026-02-02 17:34:16
2026-02-02 17:34:21,34.6,39.6,ON,OFF,2026-02-02 17:34:21
2026-02-02 17:34:26,34.6,39.6,ON,OFF,2026-02-02 17:34:26
2026-02-02 17:34:31,34.5,39.5,ON,OFF,2026-02-02 17:34:31
2026-02-02 17:34:36,34.5,39.5,ON,OFF,2026-02-02 17:34:36
2026-02-02 17:34:41,34.5,39.4,ON,OFF,2026-02-02 17:34:41
2026-02-02 17:34:46,34.5,39.4,OFF,OFF,2026-02-02 17:34:46
2026-02-02 17:34:51,34.6,39.4,OFF,OFF,2026-02-02 17:34:51
2026-02-02 17:34:56,34.5,39.4,OFF,OFF,2026-02-02 17:34:56
2026-02-02 17:35:01,34.5,39.5,OFF,OFF,2026-02-02 17:35:01
2026-02-02 17:35:06,34.5,39.4,OFF,OFF,2026-02-02 17:35:06
2026-02-02 17:35:11,34.6,39.4,OFF,OFF,2026-02-02 17:35:11
2026-02-02 17:35:16,34.6,39.4,OFF,OFF,2026-02-02 17:35:16
2026-02-02 17:35:21,34.5,39.4,OFF,OFF,2026-02-02 17:35:21
2026-02-02 17:35:26,34.5,39.4,OFF,OFF,2026-02-02 17:35:26
2026-02-02 17:35:31,34.6,39.3,OFF,OFF,2026-02-02 17:35:31
2026-02-02 17:35:36,34.5,39.3,OFF,OFF,2026-02-02 17:35:36
2026-02-02 17:35:41,34.5,39.2,OFF,OFF,2026-02-02 17:35:41
2026-02-02 17:35:46,34.5,39.2,ON,OFF,2026-02-02 17:35:46
2026-02-02 17:35:51,34.5,39.3,ON,OFF,2026-02-02 17:35:51
2026-02-02 17:35:56,34.5,39.2,ON,OFF,2026-02-02 17:35:56
2026-02-02 17:36:01,34.5,39.3,ON,OFF,2026-02-02 17:36:01
2026-02-02 17:36:06,34.5,39.2,ON,OFF,2026-02-02 17:36:06
2026-02-02 17:36:11,34.5,39.2,ON,OFF,2026-02-02 17:36:11
2026-02-02 17:36:16,34.5,39.1,ON,OFF,2026-02-02 17:36:16
2026-02-02 17:36:21,34.5,39.1,ON,OFF,2026-02-02 17:36:21
2026-02-02 17:36:26,34.5,39.1,ON,OFF,2026-02-02 17:36:26
