Pi_Time_Source,Arduino_Timestamp,Temperature_C,Humidity_Percent,Humidifier_State,Lights_State,Firefly_Detection,Pi_Receive_Time
system,20:00:02,26.0,90.6,OFF,OFF,Outside capture hours,2026-02-14 20:00:02
system,20:00:07,26.0,90.7,OFF,OFF,Outside capture hours,2026-02-14 20:00:07
system,20:00:12,26.0,90.7,OFF,OFF,Outside capture hours,2026-02-14 20:00:12
system,20:00:17,26.0,90.7,OFF,OFF,Outside capture hours,2026-02-14 20:00:17
system,20:00:23,26.0,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:00:22
system,20:00:28,26.0,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:00:27
system,20:00:33,26.0,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:00:33
system,20:00:38,26.0,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:00:38
system,20:00:43,26.0,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:00:43
system,20:00:48,26.0,90.7,ON,OFF,No fireflies detected,2026-02-14 20:00:48
system,20:00:53,26.0,90.7,ON,OFF,No fireflies detected,2026-02-14 20:00:53
system,20:00:58,26.0,90.7,ON,OFF,No fireflies detected,2026-02-14 20:00:58
system,20:01:03,26.0,90.7,ON,OFF,No fireflies detected,2026-02-14 20:01:03
system,20:01:08,26.0,90.6,ON,OFF,No fireflies detected,2026-02-14 20:01:08
system,20:01:13,26.0,90.6,ON,OFF,No fireflies detected,2026-02-14 20:01:13
system,20:01:18,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:01:18
system,20:01:23,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:01:23
system,20:01:28,26.0,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:01:28
system,20:01:33,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:01:33
system,20:01:38,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:01:38
system,20:01:43,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:01:43
system,20:01:48,26.0,90.5,OFF,OFF,No fireflies detected,2026-02-14 20:01:48
system,20:01:53,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:01:53
system,20:01:58,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:01:58
system,20:02:03,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:02:03
system,20:02:08,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:02:08
system,20:02:13,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:02:13
system,20:02:18,26.0,90.6,ON,OFF,No fireflies detected,2026-02-14 20:02:18
system,20:02:23,26.0,90.6,ON,OFF,No fireflies detected,2026-02-14 20:02:23
system,20:02:28,26.0,90.6,ON,OFF,No fireflies detected,2026-02-14 20:02:28
system,20:02:33,26.0,90.7,ON,OFF,No fireflies detected,2026-02-14 20:02:33
system,20:02:38,26.0,90.7,ON,OFF,No fireflies detected,2026-02-14 20:02:38
system,20:02:43,26.0,90.7,ON,OFF,No fireflies detected,2026-02-14 20:02:43
system,20:02:48,26.0,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:02:48
system,20:02:53,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:02:53
system,20:02:58,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:02:58
system,20:03:03,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:03:03
system,20:03:08,26.0,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:03:08
system,20:03:13,26.0,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:03:13
system,20:03:18,26.0,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:03:18
system,20:03:23,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:03:23
system,20:03:28,26.0,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:03:28
system,20:03:33,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:03:33
system,20:03:38,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:03:38
system,20:03:43,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:03:43
system,20:03:48,26.0,90.6,ON,ON,Fireflies detected,2026-02-14 20:03:48
system,20:03:53,26.0,90.6,ON,ON,Strong light detected,2026-02-14 20:03:53
system,20:03:58,26.0,90.6,ON,ON,Strong light detected,2026-02-14 20:03:58
system,20:04:03,26.0,90.7,ON,ON,Strong light detected,2026-02-14 20:04:03
system,20:04:08,26.0,90.7,ON,ON,Fireflies detected,2026-02-14 20:04:08
system,20:04:13,26.0,90.7,ON,ON,Strong light detected,2026-02-14 20:04:13
system,20:04:18,26.0,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:04:18
system,20:04:23,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:04:23
system,20:04:28,26.0,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:04:28
system,20:04:33,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:04:33
system,20:04:38,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:04:38
system,20:04:43,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:04:43
system,20:04:48,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:04:48
system,20:04:53,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:04:53
system,20:04:59,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:04:58
system,20:05:04,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:05:03
system,20:05:09,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:05:08
system,20:05:14,26.0,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:05:14
system,20:05:19,26.0,90.7,ON,OFF,No fireflies detected,2026-02-14 20:05:19
system,20:05:24,26.0,90.7,ON,OFF,No fireflies detected,2026-02-14 20:05:24
system,20:05:29,26.0,90.7,ON,OFF,No fireflies detected,2026-02-14 20:05:29
system,20:05:34,26.0,90.6,ON,OFF,No fireflies detected,2026-02-14 20:05:34
